field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Group,1,CV,Upper eyelid,,Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CX,Eyelid NEC,"upper eyelid with lower eyelid, lower eyelid, skin of eyelid, eyelashes, eyelash follicles, canthus, epicanthal fold, tarsus, meibomian glands, eyelid retractors [Muller's muscle and capsulo-palpebral fascia]",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,CZ,Eye NEC,"eyeball and surrounding structure, eye socket [of eviscerated eye]",Therapeutic Interventions on the Eye and Ocular Adnexa,2,
Group,1,DA,External ear NEC,"auricle, pinna, cartilage of ear [helix, fossa triangularis, scapha, concha, tragus, antitragus, antihelix]",Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DE,External auditory meatus,external auditory canal,Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DF,Tympanic membrane,"eardrum, plica chordae tympani",Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DG,Ossicular chain," stapes, incus, malleus",Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DJ,Eustachian tube,auditory tube,Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DK,Middle ear NEC,"attic, tympanic cavity (with contents), tympanomastoid cavity (with contents), middle ear NOS",Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DL,Mastoid (process)," mastoid bone, mastoid process, petrous pyramid air cells, petrous apex, mastoid portion of temporal bone",Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DM,Cochlea,,Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DN,Endolymphatic sac,,Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DP,Utricle and saccule,,Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DR,Inner ear NEC," inner ear NOS, vestibular system, labyrinth NOS, vestibule, semi-circular canals, semi-circular ducts, osseous labyrinth, membranous labyrinth, round window, oval window",Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,DZ,Ear NEC,,Therapeutic Interventions on the Ear and Mastoid (process),3,
Group,1,EA,Cranium,"frontal, parietal, temporal, occipital bone, cranial suture or ligament, cranial base, skull NOS",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EB,Zygoma,"zygomatic arch(es), malar bone, facial bone NOS",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EC,Nasoethmoid and orbital complex,"nasal bones, naso-orbital complex, orbital rim, ethmoidal bone [lining nasal sinus], sphenoidal bone [lining nasal sinus] bony structures surrounding the eyeball",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,ED,Maxilla,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EE,Mandible,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EF,Maxilla with mandible,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EG,Multiple bones of mid face region without cranium involvement,"maxilla [LeFort I] with any of the following bones: nose, naso-ethmoidal complex, zygoma, malar, orbital rim, midface region [LeFort II], midface NOS",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EH,Multiple bones of mid face region with cranium involvement,"maxilla with cranium, maxilla with cranium and zygoma, maxilla with cranium and nose, midface region with cranium involvement [LeFort III]",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EJ,Hyoid bone,hyoid bone NOS,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EL,Temporomandibular joint [TMJ],"joint capsule, bursa, articular disc, meniscus, ligament, synovial lining [cavity], coronoid process of mandible (alone) mandibular condyle (alone)",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EM,Maxillary alveolar ridge,"maxillary alveolar process, arch",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EN,Mandibular alveolar ridge," mandibular alveolar process, arch",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EP,Muscles of head and neck,"muscles of head: occipitofrontalis, pterygoid, temporalis, temporoparietal, zygomaticus major and minor palatini, muscles of the face, muscles of the neck: buccinator, cricothyroid, digastric, geniohyoid, mylohyoid, omohyoid, platysma, pterygoid, scalene, sternocleidomastoid, sternohyoid, thyrohyoid. Fascia of head and neck: temporal, buccopharyngeal, parotid and masseter",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EQ,Soft tissue of head and neck,"soft tissue of head and neck NOS, soft tissue (abscess, hematomas, wound or neoplasm, sinuses, fistulae) of head and neck",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,ES,Nasal cartilage,"septal cartilage, alar cartilage [lower lateral], nasal cartilage [upper, lateral], nasal cartilage alone, columella",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,ET,Nose," nasal bones, turbinates, nasal cavity, nose NEC, nasal fossa, vestibule, choanae, meatus and mucosa, nasal bones with cartilage",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EU,Ethmoidal sinus,"ethmoidal cells, uncinate process [ethmoidal]",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EV,Sphenoidal sinus,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EW,Maxillary sinus,maxillary antrum,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EX,Frontal sinus,frontonasal duct,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,EY,Paranasal sinuses," multiple nasal sinuses (2 or more of the following: ethmoidal, sphenoidal, maxillary, frontal), pansinus(es), nasal sinus NOS",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FA,Nasopharynx,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FB,Hard palate,"palatine bone, palate NOS",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FC,Soft palate,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FD,Gingiva,"gums, oral vestibule, periodontal pocket",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FE,Tooth,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FF,Root of tooth,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FG,Oral and buccal mucosa,"buccal mucosa [fat pad, glands], buccal sulcus, labial frenulum, labial sulcus, oral papilla, oral mucosa NEC",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FH,Floor of mouth,"retromolar trigone, submandibular space, sublingual space",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FJ,Tongue,"muscles of tongue [ intrinsic and extrinsic] genioglossus styloglossus, hyoglossus, lingual frenulum, lingual sulcus, sublingual tonsil [ lymph follicles on posterior third of tongue]",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FK,Mouth,Oral cavity NEC,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FL,Sublingual gland,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FM,Parotid gland,Stensen's duct,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FN,Submandibular gland,"salivary gland NEC, submaxillary gland, Wharton's duct",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FP,Salivary glands and ducts NEC,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FQ,Uvula,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FR,Tonsils and adenoids,"adenoid, palatine tonsil, pharyngeal tonsil",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FT,Thyroglossal duct,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FU,Thyroid gland,thyroid isthmus,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FV,Parathyroid gland,,Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,FX,Oropharynx,"retromaxillary, suprahyoid, posterior and lateral oropharynx, valleculae, hypopharynx, oropharynx with nasopharynx, pharynx NOS, retropharyngeal region",Therapeutic Interventions on the Orocraniofacial Region,4,
Group,1,GA,Glottis,"intrinsic larynx, laryngeal commissure, true cord, true vocal cord, vocal cord NOS, vocal folds",Therapeutic Interventions on the Respiratory System,5,
Group,1,GB,Supraglottis,"epiglottic region, supraglottic region, extrinsic larynx, laryngeal aspect of aryepiglottic fold, ventricular band of larynx, false cord, false vocal cord, epiglottis NOS, vestibule of glottis",Therapeutic Interventions on the Respiratory System,5,
Group,1,GC,Subglottis,subglottic region,Therapeutic Interventions on the Respiratory System,5,
Group,1,GD,Laryngeal cartilage,"thyroid cartilage [Adam's apple], cricoid cartilage, arytenoid cartilage, corniculate cartilage, cuneiform cartilage",Therapeutic Interventions on the Respiratory System,5,
Group,1,GE,Larynx NEC,larynx NOS,Therapeutic Interventions on the Respiratory System,5,
Group,1,GH,Larynx with trachea,,Therapeutic Interventions on the Respiratory System,5,
Group,1,GJ,Trachea,,Therapeutic Interventions on the Respiratory System,5,
Group,1,GK,Thymus,ectopic thymus tissue,Therapeutic Interventions on the Respiratory System,5,
Group,1,GM,Bronchus NEC,"main bronchus NOS, hilus of lung, left main bronchus, right main bronchus, bronchus NOS, bronchial region",Therapeutic Interventions on the Respiratory System,5,
Group,1,GN,Carina,,Therapeutic Interventions on the Respiratory System,5,
Group,1,GR,Lobe of lung,"apex, lingula bronchus, lingula of lung",Therapeutic Interventions on the Respiratory System,5,
Group,1,GT,Lung NEC,"pulmonary NOS, base of lung, borders and surface of lung, parenchyma of lung, multiple overlapping sites of lung",Therapeutic Interventions on the Respiratory System,5,
Group,1,GV,Pleura,"parietal pleura, visceral pleura, pleural cavity, pleural space",Therapeutic Interventions on the Respiratory System,5,
Group,1,GW,Mediastinum,"anterior mediastinum, posterior mediastinum, superior mediastinum, inferior mediastinum, middle mediastinum, mediastinal wall and cavity",Therapeutic Interventions on the Respiratory System,5,
Group,1,GX,Diaphragm,,Therapeutic Interventions on the Respiratory System,5,
Group,1,GY,Thoracic cavity NEC,"Chest NOS, sinuses/fistulous tract",Therapeutic Interventions on the Respiratory System,5,
Group,1,GZ,Respiratory system NEC,,Therapeutic Interventions on the Respiratory System,5,
Group,1,HA,Pericardium,"serous pericardium, fibrous pericardium",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HB,Epicardium,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HD,Endocardium,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HH,Cardiac conduction system,"sinoatrial node, atrioventricular node, atrioventricular pathway",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HJ,Right heart structures,"Right atrium with right ventricle, right side of heart with absent structures (congenital absence)",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HM,Atrium,"sinus venarum/venosus, auricle of atrium [ and atrial appendage]",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HN,Interatrial septum,atrial septal,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HP,Ventricle,infundibulum of ventricle,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HR,Interventricular septum,ventricular septal,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HS,Tricuspid valve,"commissure of tricuspid valve, right atrioventricular valve",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HT,Pulmonary valve,commissure of pulmonary valve,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HU,Mitral valve,"mitral valve, commissure of bicuspid valve, left atrioventricular valve",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HV,Aortic valve,commissure of aortic valve,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HW,Annulus NEC,annulus alone of any valve,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HX,Structures adjacent to valves,"chordae tendineae, trabeculae carneae, papillary muscles, sinuses of Valsalva",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HY,Heart with lung(s),,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,HZ,Heart NEC,"combined right and left heart, heart NOS, heart tissue NEC",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,ID,Aorta NEC,"ascending aorta, aortic arch, descending thoracic aorta, thoracoabdominal aorta. EXCLUDE aorta with pulmonary artery and coronary arteries (see IF), aorta with pulmonary artery and interventricular septum (see LA) and abdominal aorta alone (see KA)",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IF,Aorta with pulmonary artery and coronary arteries,congenitally transposed great arteries,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IJ,Coronary arteries,"right and left coronary arteries and all tributaries [ circumflex, left anterior descending, right marginal branch",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IK,Coronary veins,"coronary sinus, great coronary vein, small coronary vein, anterior cardiac veins, middle cardiac veins, posterior cardiac vein",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IL,Vessels of heart,coronary arteries and veins togethe,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IM,Pulmonary artery,"ductus arteriosus, pulmonary artery [main, right, left], pulmonary artery bifurcation",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IN,Pulmonary vein,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,IS,Vena cava (superior and inferior),,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JD,Carotid body and carotid sinus,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JE,Carotid artery,"common carotid arteries, internal carotid arteries, external carotid arteries, carotid bifurcation",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JJ,Brachiocephalic arteries,innominate artery,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JK,Subclavian artery,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JL,Internal mammary artery,internal thoracic artery,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JM,Arteries of arm NEC,"axillary arteries, brachial arteries, radial arteries, ulnar arteries, common interosseous arteries, upper limb arteries NOS",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JQ,Jugular veins,"external jugular veins, internal jugular veins",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JT,Subclavian vein,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JU,Veins of arm NEC,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JW,Intracranial vessels,"ophthalmic vessels, basilar arteries, Circle of Willis, cerebral vessels [anterior, middle, posterior communicating], anterior choroidal vessels, meningeal vessels [anterior, posterior], cerebellar vessels, pontine artery, dural venous sinuses [superior saggital sinus,inferior saggital sinus ,straight sinus, transverse sinuses sigmoid sinuses, cavernous sinuses, superior petrosal sinuses, inferior petrosal sinuses], intracranial vessels NOS",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JX,"Other vessels of head, neck and spine NEC","superior thyroid vessels, ascending pharyngeal vessels, lingual, facial and occipital vessels, posterior auricular vessels, superficial temporal vessels, maxillary vessels, hypophyseal vessels, ganglionic vessels, caroticotympanic vessels, pterygoid vessels, cavernous vessels, vertebral vessels, extracranial vessels NEC",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,JY,Thoracic vessels NEC,"mediastinal vessels, bronchial vessels, sternal vessels, anterior intercostal vessels, superior epigastric vessels, esophageal vessels",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KA,Abdominal aorta,"infrarenal aorta, juxtarenal aorta, aortic bifurcation, iliac arteries with abdominal aorta",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KE,Abdominal arteries NEC,"mesenteric arteries [inferior, superior], gastroepiploic arteries, renal arteries, celiac arteries, hepatic arteries, common iliac arteries, gastric arteries, splenic arteries, umbilical arteries, inferior phrenic arteries, mesenteric artery with aorta, abdominal arteries NEC",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KG,Arteries of leg NEC,"femoral arteries, popliteal arteries, tibial arteries [anterior, posterior], dorsalis pedis arteries, lower limb arteries NEC",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KQ,Abdominal veins NEC,"common iliac veins, portal veins, renal veins, suprarenal veins, mesenteric veins [superior, inferior], splenic veins, hepatic veins, visceral veins, abdominal veins NOS",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KR,Veins of leg NEC,"saphenous veins, femoral veins, popliteal veins, tibial veins [anterior, posterior], peroneal veins, perforator veins, lower limb veins NOS",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KT,"Vessels of the pelvis, perineum and gluteal region","internal and external portion of iliac vessels, epigastric vessels, vesical vessels, uterine vessels, vaginal vessels, rectal vessels, obturator vessels, internal pudendal artery, penile vessels, pelvic vessels NEC",Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KV,Artery NEC,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KX,Vein NEC,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KY,Artery with vein,,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,KZ,Blood vessels NEC,blood vessels NOS,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,LA,Aorta with pulmonary artery with interventricular septum,truncus arteriosus,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,LC,Interventricular septum with interatrial septum and heart valves,endocardial cushion,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,LD,Interventricular septum with pulmonary valve with aorta with right ventricle,tetralogy of Fallot,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,LZ,Circulatory system NEC,blood,Therapeutic Interventions on the Cardiovascular System,6,
Group,1,MA,"Lymph node(s), head region","preauricular [anterior auricular] nodes, postauricular [retroauricular] nodes, occipital nodes, facial nodes, parotid nodes, buccal nodes",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MC,"Lymph node(s), cervical","cervical nodes [superficial and deep], level I nodes [submandibular and submental trigone], level II nodes [upper jugular], level III nodes [middle jugular], level IV nodes [lower jugular], level V nodes [posterior triangle including spinal accessory, transverse cervical and supraclavicular nodes], level VI nodes [anterior/central compartment including paratracheal, pretracheal, parathyroid, precricoid, Delphian and prelaryngeal nodes located above the suprasternal notch], retropharyngeal nodes",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MD,"Lymph node(s), axillary","deep axillary nodes, superficial axillary nodes, lateral nodes, pectoral nodes, subscapular nodes, apical nodes [subclavicular], central nodes",Therapeutic Interventions on the Lymphatic System,7,
Group,1,ME,"Lymph node(s), mediastinal","anterior and posterior mediastinal nodes, superior mediastinal nodes [pre-tracheal, upper paratracheal, pre-carinal and lower paratracheal nodes located below the suprasternal notch], aortic nodes [subaortic and para-aortic nodes of the ascending aorta and aortic arch], inferior mediastinal nodes [subcarinal, paraesophageal and pulmonary ligament nodes], tracheobronchial nodes [tracheal/paratracheal, deep and inferior, tracheobronchial , bronchopulmonary and pulmonary]",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MF,"Lymph node(s), intrathoracic NEC","mediastinal nodes with other intrathoracic nodes, parasternal nodes [internal mammary], intercostal nodes, diaphragmatic nodes, nodes of the thoracic organs, parietal nodes of thoracic wall",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MG,"Lymph node(s), intra-abdominal","retroperitoneal nodes, intra-aortocaval nodes [preaortic, lateral aortic, periaortic nodes located below the diaphragm], para-caval nodes, retrocrural nodes, mesenteric nodes, nodes of the abdominal organs",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MH,"Lymph node(s), pelvic","external iliac nodes, common iliac nodes, internal iliac nodes, circumflex nodes, sacral nodes, intrapelvic nodes, obturator nodes, paracervical nodes, parametrial nodes, presymphysical nodes",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MJ,"Lymph node(s), inguinal","superficial and deep inguinal nodes, inguinofemoral nodes, lymph nodes of groin region",Therapeutic Interventions on the Lymphatic System,7,
Group,1,MK,"Lymph node(s), extremity NEC","anterior tibial nodes, popliteal nodes, femoral nodes, tibial nodes, other lower limb nodes, brachial nodes, anti-cubital nodes, and other upper limb nodes.",Therapeutic Interventions on the Lymphatic System,7,
