CCI_code,CCI_description
1AB54MFSJ,"Management of internal device, subarachnoid, of shunt terminating in circulatory system [e.g. cystoatrial]"
1AB54MQSJ,"Management of internal device, subarachnoid, of shunt system terminating in thoracic cavity [e.g. cystopleural]"
1AB55SETS,"Removal of device, subarachnoid, of drainage tube [catheter] using burr hole access"
1AB55SZSJ,"Removal of device, subarachnoid, of shunt catheter system using open approach"
1AB86MB,"Closure of fistula, subarachnoid using apposition technique[e.g. suture] for fistula terminating at skin"
1AB86MBW3,"Closure of fistula, subarachnoid using fibrin [glue] for fistula terminating at skin"
1AB86MBXXA,"Closure of fistula, subarachnoid using autograft [e.g. fascia lata, pericranium, fat, muscle or bone] for fistula terminating at skin"
1AB86MJ,"Closure of fistula, subarachnoid using apposition technique[e.g. suture] for fistula terminating in head and neck [e.g. subdural space]"
1AB86MJW3,"Closure of fistula, subarachnoid using fibrin [glue] for fistula terminating in head and neck [e.g. subdural space]"
1AB86MJXXA,"Closure of fistula, subarachnoid using autograft [e.g. fascia lata, pericranium, fat, muscle or bone] for fistula terminating in head and neck [e.g. subdural space]"
1AB86ML,"Closure of fistula, subarachnoid using apposition technique[e.g. suture] for fistula terminating in nasal [oral] cavity"
1AB86MLW3,"Closure of fistula, subarachnoid using fibrin [glue] for fistula terminating in nasal [oral] cavity"
1AB86MLXXA,"Closure of fistula, subarachnoid using autograft [e.g. fascia lata, pericranium, fat, muscle or bone] for fistula terminating in nasal [oral] cavity"
1AB86MS,"Closure of fistula, subarachnoid using apposition technique[e.g. suture] for fistula terminating in ear"
1AB86MSW3,"Closure of fistula, subarachnoid using fibrin [glue] for fistula terminating in ear"
1AB86MSXXA,"Closure of fistula, subarachnoid using autograft [e.g. fascia lata, pericranium, fat, muscle or bone] for fistula terminating in ear"
1AB87SEAG,"Excision partial, subarachnoid burr hole approach with laser"
1AB87SEAZ,"Excision partial, subarachnoid burr hole approach with ultrasonic aspirator [e.g. CUSA]"
1AB87SEGX,"Excision partial, subarachnoid burr hole approach with device NEC"
1AB87SZAG,"Excision partial, subarachnoid open approach with laser"
1AB87SZAZ,"Excision partial, subarachnoid open approach with ultrasonic aspirator [e.g. CUSA]"
1AB87SZGX,"Excision partial, subarachnoid open approach with device NEC"
1AC27JX,"Radiation, ventricles of brain using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1AC35HH1C,"Pharmacotherapy (local), ventricles of brain percutaneous transcatheter approach using thrombolytic agent"
1AC35HHT9,"Pharmacotherapy (local), ventricles of brain percutaneous transcatheter approach using other pharmacological agent NEC"
1AC50DANR,"Dilation, ventricles of brain using endoscopic [ventriculoscopic) approach and stent"
1AC50SENR,"Dilation, ventricles of brain using open approach with burr hole technique and stent"
1AC50SZNR,"Dilation, ventricles of brain using open approach with craniotomy [craniectomy] flap technique and stent"
1AC52DA,"Drainage, ventricles of brain endoscopic [ventriculoscopic] approach drainage without shunt or catheter left in situ"
1AC52DASJ,"Drainage, ventricles of brain endoscopic [ventriculoscopic] approach drainage to skin (of head) with catheter or shunt (temporarily)"
1AC52GISJ,"Drainage, ventricles of brain endoscopic [ventriculoscopic] approach shunt terminating in circulatory system [e.g. ventriculoatrial]"
1AC52GJSJ,"Drainage, ventricles of brain endoscopic [ventriculoscopic] approach shunt terminating in thoracic cavity [e.g. ventriculopleural]"
1AC52GKSJ,"Drainage, ventricles of brain endoscopic [ventriculoscopic] approach shunt terminating in other site"
1AC52GNSJ,"Drainage, ventricles of brain endoscopic [ventriculoscopic] approach shunt terminating in abdominal cavity [e.g. ventriculoperitoneal or ventriculobiliary]"
1AC52HA,"Drainage, ventricles of brain percutaneous (via needle through fontanel) approach drainage without shunt or catheter left in situ"
1AC52MBSJ,"Drainage, ventricles of brain burr hole technique drainage to skin (of head) with catheter or shunt (temporarily) left in situ"
1AC52MESJ,"Drainage, ventricles of brain craniotomy or craniectomy [flap] approach shunt terminating in abdominal cavity [e.g. ventriculoperitoneal or ventriculobiliary]"
1AC52MFSJ,"Drainage, ventricles of brain craniotomy or craniectomy [flap] approach shunt terminating in circulatory system [e.g. ventriculoatrial]"
1AC52MJSJ,"Drainage, ventricles of brain craniotomy or craniectomy [flap] approach shunt terminating in head and neck [e.g cisterna magna or Torkildsen shunt]"
1AC52MPSJ,"Drainage, ventricles of brain craniotomy or craniectomy [flap] approach shunt terminating in other site"
1AC52MQSJ,"Drainage, ventricles of brain craniotomy or craniectomy [flap] approach shunt terminating in thoracic cavity [e.g. ventriculopleural]"
1AC52SE,"Drainage, ventricles of brain burr hole technique drainage without shunt or catheter left in situ"
1AC52SZ,"Drainage, ventricles of brain craniotomy or craniectomy [flap] approach drainage without shunt or catheter left in situ"
1AC53DAPL,"Implantation, ventricles of brain of pressure measuring/monitoring device using endoscopic [ventriculoscopic] approach"
1AC53SEFT,"Implantation of internal device, ventricles of brain of [semipermeable] catheter [for chemical palliative infusion] using burr hole technique"
1AC53SZFT,"Implantation of internal device, ventricles of brain of [semipermeable] catheter [for chemical palliative infusion] using open craniotomy [or craniectomy] flap technique"
1AC53SZPL,"Implantation, ventricles of brain of pressure measuring/monitoring device using open craniotomy/craniectomy [flap] technique for access"
1AC54HATS,"Management of internal device, ventricles of brain using percutaneous [needle] approach irrigation of drainage tube [catheter]"
1AC54JASJ,"Management of internal device, ventricles of brain using external adjustment of (flow) (programmable) valves of (any) shunt system"
1AC54MESJ,"Management of internal device, ventricles of brain using open approach shunt system terminating in abdominal cavity [e.g. ventriculoperitoneal, gallbladder]"
1AC54MFSJ,"Management of internal device, ventricles of brain using open approach shunt system terminating in circulatory system [e.g. ventriculoatrial]"
1AC54MJSJ,"Management of internal device, ventricles of brain using open approach shunt system terminating in head and neck [e.g. cisterna magna, Torkildsen's shunt]"
1AC54MPSJ,"Management of internal device, ventricles of brain using open approach shunt system terminating in other site"
1AC54MQSJ,"Management of internal device, ventricles of brain using open approach shunt system terminating in thoracic cavity [e.g. ventriculopleural]"
1AC55DANR,"Removal of device, ventricles of brain endoscopic approach of stent using burr hole access"
1AC55SENR,"Removal of device, ventricles of brain open approach of stent using burr hole access"
1AC55SZPL,"Removal of device, ventricles of brain open approach of pressure measuring/monitoring device using craniotomy for access"
1AC55SZSJ,"Removal of device, ventricles of brain open approach of shunt catheter system"
1AC59DAAG,"Destruction, ventricles of brain endoscopic approach using laser"
1AC59DAAW,"Destruction, ventricles of brain endoscopic approach using radiofrequency probe"
1AC59DAGX,"Destruction, ventricles of brain endoscopic approach using device NEC"
1AC59SZAG,"Destruction, ventricles of brain open approach with craniotomy [craniectomy] flap technique using laser"
1AC59SZAW,"Destruction, ventricles of brain open approach with craniotomy [craniectomy] flap technique using radiofrequency probe"
1AC59SZGX,"Destruction, ventricles of brain open approach with craniotomy [craniectomy] flap technique using device NEC"
1AC87DAAG,"Excision partial, ventricles of brain endoscopic approach with laser"
1AC87DAAZ,"Excision partial, ventricles of brain endoscopic approach with ultrasonic aspirator [e.g. CUSA]"
1AC87DAGX,"Excision partial, ventricles of brain endoscopic approach with device NEC"
1AC87SZAG,"Excision partial, ventricles of brain open approach with laser"
1AC87SZAZ,"Excision partial, ventricles of brain open approach with ultrasonic aspirator [e.g. CUSA]"
1AC87SZGX,"Excision partial, ventricles of brain open approach with device NEC"
1AE09JAQQ,"Stimulation, thalamus and basal ganglia using remote radio transmitter"
1AE09JHED,"Stimulation, thalamus and basal ganglia using external manual activation of implanted stimulator"
1AE27JX,"Radiation, thalamus and basal ganglia using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1AE35HAK0,"Pharmacotherapy (local), thalamus and basal ganglia percutaneous (needle) approach using antiinfective agent NEC"
1AE35HAM0,"Pharmacotherapy (local), thalamus and basal ganglia percutaneous (needle) approach using antineoplastic agent NEC"
1AE35HAT9,"Pharmacotherapy (local), thalamus and basal ganglia percutaneous (needle) approach using other pharmacological agent NEC"
1AE35HHK0,"Pharmacotherapy (local), thalamus and basal ganglia percutaneous transcatheter approach using anti-infective agent"
1AE35HHM0,"Pharmacotherapy (local), thalamus and basal ganglia percutaneous transcatheter approach using antineoplastic agent NEC"
1AE35HHT9,"Pharmacotherapy (local), thalamus and basal ganglia percutaneous transcatheter approach using other pharmacological agent NEC"
1AE53SEJA,"Implantation, thalamus and basal ganglia, of electrodes [e.g. recording, stimulating] using burr hole approach"
1AE53SZFT,"Implantation of internal device, thalamus and basal ganglia of semipermeable catheter [e.g. for continuous chemical therapy]"
1AE53SZJA,"Implantation of internal device, thalamus and basal ganglia of electrodes [e.g. recording, stimulating] using open approach"
1AE54JAFT,"Management of internal device, thalamus and basal ganglia of semipermeable catheter"
1AE54LAJA,"Management of internal device, thalamus and basal ganglia of electrodes using open (skin incision) approach"
1AE55SZFT,"Removal of device, thalamus and basal ganglia of semipermeable catheter [e.g. for continuous chemical therapy]"
1AE55SZJA,"Removal of device, thalamus and basal ganglia of electrodes [e.g. recording, stimulating]"
1AE59JAAZ,"Destruction, thalamus and basal ganglia external approach using ultrasound"
1AE59SEAW,"Destruction, thalamus and basal ganglia burr hole approach using radiofrequency probe"
1AE59SEGX,"Destruction, thalamus and basal ganglia burr hole approach using device NEC"
1AE59SEX7,"Destruction, thalamus and basal ganglia burr hole approach using chemical cautery agent"
1AE59SZAW,"Destruction, thalamus and basal ganglia open approach using radiofrequency probe"
1AE59SZGX,"Destruction, thalamus and basal ganglia open approach using device NEC"
1AE59SZX7,"Destruction, thalamus and basal ganglia open approach using chemical cautery agent"
1AE85SZXXJ,"Transplant, thalamus and basal ganglia of fetal mesencephalic tissue using open approach"
1AE85SZXXL,"Transplant, thalamus and basal ganglia of xenograft tissue [e.g. pig cell] using open approach"
1AE87SZGX,"Excision partial, thalamus and basal ganglia using open approach and device NEC"
1AF27JA,"Radiation, pituitary region using external beam [or teletherapy NEC]"
1AF27JX,"Radiation, pituitary region using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1AF52QS,"Drainage, pituitary region using transnasal [e.g. transsphenoidal, transethmoidal] approach"
1AF52QSTS,"Drainage, pituitary region using transnasal (e.g. transethmoidal, transsphenoidal) approach and leaving drainage tube [catheter] in situ"
1AF52SZ,"Drainage, pituitary region using transcranial [e.g. transfrontal, pterion or craniectomy NOS] approach"
1AF52SZTS,"Drainage, pituitary region using transcranial (e.g. transfrontal, pterion or craniectomy NOS) approach and leaving drainage tube [catheter] in situ"
1AF53SEQS,"Implantation of internal device, pituitary region using burr hole approach and reservoir (with tubing) system"
1AF54HAQS,"Management of internal device, pituitary region of reservoir (and tubing) system using percutaneous (aspiration) approach"
1AF54SEQS,"Management of internal device, pituitary region of reservoir (and tubing) system using burr hole approach"
1AF55SEQS,"Removal of device, pituitary region of reservoir (and tubing) system using burr hole approach"
1AF59QSAD,"Destruction, pituitary region transnasal [e.g. transsphenoidal or transethmoidal] approach with cryoprobe"
1AF59QSAW,"Destruction, pituitary region transnasal [e.g. transsphenoidal or transethmoidal] approach with radiofrequency probe"
1AF59QSGX,"Destruction, pituitary region transnasal [e.g. transsphenoidal or transethmoidal] approach with device NEC"
1AF59QSX7,"Destruction, pituitary region transnasal [e.g. transsphenoidal or transethmoidal] approach with chemical cautery agent"
1AF59SZAD,"Destruction, pituitary region transcranial [e.g. transfrontal, pterion or craniotomy NOS] approach with cryoprobe"
1AF59SZAW,"Destruction, pituitary region transcranial [e.g. transfrontal, pterion or craniotomy NOS] approach with radiofrequency probe"
1AF59SZGX,"Destruction, pituitary region transcranial [e.g. transfrontal, pterion or craniotomy NOS] approach with device NEC"
1AF59SZX7,"Destruction, pituitary region transcranial [e.g. transfrontal, pterion or craniotomy NOS] approach with chemical cautery agent"
1AF87DA,"Excision partial, pituitary region endoscopic (via sinus) approach without  tissue"
1AF87DAXXA,"Excision partial, pituitary region endoscopic (via sinus) approach with autograft [e.g. fascia lata, fat, muscle or bone]"
1AF87DAXXG,"Excision partial, pituitary region endoscopic (via sinus) approach with pedicled flap [e.g. nasoseptal]"
1AF87DAXXN,"Excision partial, pituitary region endoscopic (via sinus) approach with synthetic tissue"
1AF87DAXXQ,"Excision partial, pituitary region endoscopic (via sinus) approach with combined sources of tissue"
1AF87LU,"Excision partial, pituitary region combined transnasal & transcranial approach without tissue"
1AF87LUXXA,"Excision partial, pituitary region combined transnasal & transcranial approach with autograft [e.g. fascia lata, fat, muscle or bone]"
1AF87LUXXG,"Excision partial, pituitary region combined transnasal & transcranial approach with pedicled flap [e.g. nasoseptal]"
1AF87LUXXN,"Excision partial, pituitary region combined transnasal & transcranial approach with synthetic tissue"
1AF87LUXXQ,"Excision partial, pituitary region combined transnasal & transcranial approach with combined sources of tissue"
1AF87QS,"Excision partial, pituitary region open transnasal [e.g. transsphenoidal, transethmoidal] approach without tissue"
1AF87QSXXA,"Excision partial, pituitary region open transnasal [e.g. transsphenoidal, transethmoidal] approach with autograft [e.g. fascia lata, fat, muscle or bone]"
1AF87QSXXG,"Excision partial, pituitary region open transnasal [e.g. transsphenoidal, transethmoidal] approach with pedicled flap [e.g. nasoseptal]"
1AF87QSXXN,"Excision partial, pituitary region open transnasal [e.g. transsphenoidal, transethmoidal] approach with synthetic tissue"
1AF87QSXXQ,"Excision partial, pituitary region open transnasal [e.g. transsphenoidal, transethmoidal] approach with combined sources of tissue"
1AF87SZ,"Excision partial, pituitary region transcranial [e.g. transfrontal, pterion or craniectomy NEC] approach without tissue"
1AF87SZXXA,"Excision partial, pituitary region transcranial [e.g. transfrontal, pterion or craniectomy NEC] approach with autograft [e.g. fascia lata, fat, muscle or bone]"
1AF87SZXXG,"Excision partial, pituitary region transcranial [e.g. transfrontal, pterion or craniectomy NEC] approach with pedicled flap [e.g. nasoseptal]"
1AF87SZXXN,"Excision partial, pituitary region transcranial [e.g. transfrontal, pterion or craniectomy NEC] approach with synthetic tissue"
1AF87SZXXQ,"Excision partial, pituitary region transcranial [e.g. transfrontal, pterion or craniectomy NEC] approach with combined sources of tissue"
1AG27JX,"Radiation, pineal gland using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1AG52HA,"Drainage, pineal gland using percutaneous (needle) aspiration"
1AG87SEAG,"Excision partial, pineal gland burr hole technique for access with laser"
1AG87SEAZ,"Excision partial, pineal gland burr hole technique for access with ultrasonic aspirator [e.g. CUSA]"
1AG87SEGX,"Excision partial, pineal gland burr hole technique for access with device NEC"
1AG87SZAG,"Excision partial, pineal gland craniotomy [craniectomy] flap technique for access with laser"
1AG87SZAZ,"Excision partial, pineal gland craniotomy [craniectomy] flap technique for access with ultrasonic aspirator [e.g. CUSA]"
1AG87SZGX,"Excision partial, pineal gland craniotomy [craniectomy] flap technique for access with device NEC"
1AJ27JX,"Radiation, cerebellum using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1AJ53SEJA,"Implantation of internal device, cerebellum of electrode using open approach with burr hole technique"
1AJ55SEJA,"Removal of device, cerebellum of electrode using open approach with burr hole technique"
1AJ87DAAG,"Excision partial, cerebellum endoscopic approach with laser"
1AJ87DAAZ,"Excision partial, cerebellum endoscopic approach with ultrasonic aspirator [e.g. CUSA]"
1AJ87DAGX,"Excision partial, cerebellum endoscopic approach with device NEC"
1AJ87SEAG,"Excision partial, cerebellum burr hole technique with laser"
1AJ87SEAZ,"Excision partial, cerebellum burr hole technique with ultrasonic aspirator [e.g. CUSA]"
1AJ87SEGX,"Excision partial, cerebellum burr hole technique with device NEC"
1AJ87SZAG,"Excision partial, cerebellum open [craniotomy flap] approach with laser"
1AJ87SZAZ,"Excision partial, cerebellum open [craniotomy flap] approach with ultrasonic aspirator [e.g. CUSA]"
1AJ87SZGX,"Excision partial, cerebellum open [craniotomy flap] approach with device NEC"
1AK87QQAG,"Excision partial, cerebellopontine angle open translabyrinthine approach [with or without additional craniotomy flap] with laser"
1AK87QQAZ,"Excision partial, cerebellopontine angle open translabyrinthine approach [with or without additional craniotomy flap] with ultrasonic aspirator [e.g. CUSA]"
1AK87QQGX,"Excision partial, cerebellopontine angle open translabyrinthine approach [with or without additional craniotomy flap] with device NEC"
1AK87SZAG,"Excision partial, cerebellopontine angle open craniotomy [or craniectomy] approach [e.g. suboccipital, midfossa, temporal] with laser"
1AK87SZAZ,"Excision partial, cerebellopontine angle open craniotomy [or craniectomy] approach [e.g. suboccipital, midfossa, temporal] with ultrasonic aspirator [e.g. CUSA]"
1AK87SZGX,"Excision partial, cerebellopontine angle open craniotomy [or craniectomy] approach [e.g. suboccipital, midfossa, temporal] with device NEC"
1AN09HAX7,"Stimulation, brain using percutaneous chemical stimulation"
1AN09JADV,"Stimulation, brain using external electrical stimulation (for shock or convulsion)"
1AN09JAED,"Stimulation, brain using external manual activation (of implant)"
1AN09JALZ,"Stimulation, brain using external application of magnetic coil (for TMS)"
1AN09JAQQ,"Stimulation, brain using remote radio transmitter activation (of implant)"
1AN26HA,"Brachytherapy, brain using percutaneous (transcatheter or transneedle) approach"
1AN26SZ,"Brachytherapy, brain using craniotomy (or craniectomy) approach"
1AN27JA,"Radiation, brain using external beam [for teletherapy NEC]"
1AN27JX,"Radiation, brain using focused beam [e.g. gamma knife, cyber knife stereotactic radiosurgery]"
1AN35HHM0,"Pharmacotherapy (local), brain using antineoplastic agent and percutaneous transcatheter approach"
1AN35SZM1,"Pharmacotherapy (local), brain using alkylating agent [e.g. carmustine] and open approach with craniotomy flap technique"
1AN52DA,"Drainage, brain endoscopic approach drainage alone [without catheter in situ]"
1AN52DATS,"Drainage, brain endoscopic approach leaving drainage tube [catheter] in situ"
1AN52SE,"Drainage, brain burr hole approach drainage alone [without catheter in situ]"
1AN52SETS,"Drainage, brain burr hole approach leaving drainage tube [catheter] in situ"
1AN52SZ,"Drainage, brain open craniotomy flap technique drainage alone [without catheter in situ]"
1AN52SZTS,"Drainage, brain open craniotomy flap technique leaving drainage tube [catheter] in situ"
1AN53SEEM,"Implantation of internal device, brain burr hole technique for access of brachytherapy applicator"
1AN53SEFT,"Implantation of internal device, brain burr hole technique for access of [semipermeable] catheter [e.g. for chemical palliative infusion]"
1AN53SEJA,"Implantation of internal device, brain burr hole technique for access of electrodes [e.g. recording, stimulating]"
1AN53SEPL,"Implantation of internal device, brain burr hole technique for access of pressure measuring/ monitoring device"
1AN53SZEM,"Implantation of internal device, brain craniotomy [or craniectomy] flap technique for access of brachytherapy applicator"
1AN53SZFT,"Implantation of internal device, brain craniotomy [or craniectomy] flap technique for access of [semipermeable] catheter [e.g. for chemical palliative infusion]"
1AN53SZJA,"Implantation of internal device, brain craniotomy [or craniectomy] flap technique for access of electrodes [e.g. recording, stimulating]"
1AN53SZPL,"Implantation of internal device, brain craniotomy [or craniectomy] flap technique for access of pressure measuring/ monitoring  device"
1AN54JAFT,"Management of internal device, brain of semipermeable catheter using external approach"
1AN54JAPL,"Management of internal device, brain of pressure measuring/monitoring device using external approach"
1AN54SEJA,"Management of internal device, brain of electrodes [e.g. recording, stimulating] using burr hole approach"
1AN54SEPL,"Management of internal device, brain of pressure measuring/monitoring device using burr hole approach"
1AN54SZJA,"Management of internal device, brain of electrodes [e.g. recording, stimulating] using craniotomy/craniectomy approach"
1AN54SZPL,"Management of internal device, brain of pressure measuring/monitoring device using craniotomy/craniectomy approach"
1AN55SEEB,"Removal of device, brain burr hole technique for access of radioactive material"
1AN55SEFT,"Removal of device, brain burr hole technique for access of [semipermeable] catheter [e.g. for chemical palliative infusion]"
1AN55SEJA,"Removal of device, brain burr hole technique for access of electrodes [e.g. recording, stimulating]"
1AN55SEPL,"Removal of device, brain burr hole technique for access of pressure measuring/ monitoring device"
1AN55SZEB,"Removal of device, brain craniotomy or craniectomy [flap] technique for access of radioactive material"
1AN55SZFT,"Removal of device, brain craniotomy or craniectomy [flap] technique for access of [semipermeable] catheter [e.g. for chemical palliative infusion]"
1AN55SZJA,"Removal of device, brain craniotomy or craniectomy [flap] technique for access of electrodes [e.g. recording, stimulating]"
1AN55SZPL,"Removal of device, brain craniotomy or craniectomy [flap] technique for access of pressure measuring/ monitoring device"
1AN56SZ,"Removal of foreign body, brain using open approach with craniotomy [craniectomy] flap technique for access"
1AN59SEAG,"Destruction, brain burr hole technique for access with laser"
1AN59SEAW,"Destruction, brain burr hole technique for access with radiofrequency probe"
1AN59SEGX,"Destruction, brain burr hole technique for access with device NEC"
1AN59SEX7,"Destruction, brain burr hole technique for access with chemical cautery [e.g. alcohol]"
1AN59SZAG,"Destruction, brain craniotomy [or craniectomy] flap technique for access with laser"
1AN59SZAW,"Destruction, brain craniotomy [or craniectomy] flap technique for access with radiofrequency probe"
1AN59SZGX,"Destruction, brain craniotomy [or craniectomy] flap technique for access with device NEC"
1AN59SZX7,"Destruction, brain craniotomy [or craniectomy] flap technique for access with chemical cautery [e.g. alcohol]"
1AN70JAAZ,"Incision NOS, brain using transcranial focused ultrasonic pulse"
1AN70LA,"Incision NOS, brain using open approach"
1AN73QP,"Reduction, brain using combined transcranial and transnasal approach"
