row_id,count,search_type,raw_input,rxnorm_match,drug_group,times_validated,SME_confirm,SME_comment
28,22,med_id_generic_name_raw,insulin isophane-insulin regular,insulin,insulin,0,T,
29,18,med_id_hospital_code_raw,correction scale insulin regular (humulin r),insulin,insulin,0,T,exclude from cohort
30,16,med_id_hospital_code_raw,insulin nph (humulin n) 100 unit/ml-3 ml pen,insulin,insulin,0,T,
31,15,med_id_din,02024233,insulin,insulin,0,F,
32,13,med_id_generic_name_raw,humulin n insulin 100 unit/ml 3 ml pen,insulin,insulin,0,F,
33,12,med_id_din,02024268,insulin,insulin,0,F,
34,10,med_id_hospital_code_raw,humulin r inj** 25 units + d5w* 249.75 ml + insuli,insulin,insulin,0,F,
35,10,med_id_hospital_code_raw,insulin regular (humulin r) 100 unit/ml-3 ml pen,insulin,insulin,0,F,
36,9,med_id_generic_name_raw,insulin humulin 30/70,insulin,insulin,2+,F,
37,9,med_id_generic_name_raw,insulin regular-insulin isophane,insulin,insulin,0,F,
38,8,med_id_din,02024225,insulin,insulin,0,F,
39,7,med_id_generic_name_raw,insulin humulin nph inj,insulin,insulin,0,F,
40,<6,med_id_generic_name_raw,humulin 30/70 insulin 100 unit/ml 3 ml cartr in pen,insulin,insulin,0,F,
41,<6,med_id_brand_name_raw,humulin 30/70 cartridge,insulin,insulin,0,F,
42,<6,med_id_brand_name_raw,novolin nph ; humulin nph,insulin,insulin,0,F,
43,<6,med_id_din,02025248,insulin,insulin,0,F,
44,<6,med_id_brand_name_raw,novolin ge nph,insulin,insulin,0,F,
45,<6,med_id_generic_name_raw,humulin r insulin 100 units/ml 3 ml kwikpen,insulin,insulin,0,F,
46,<6,med_id_generic_name_raw,"insulin reg/nph 30/70 100 unit/ml vial (1,000 unit/10 ml)",insulin,insulin,0,F,
47,<6,med_id_brand_name_raw,humulin 30/70,insulin,insulin,0,F,
48,<6,med_id_din,00587737,insulin,insulin,0,F,
49,<6,med_id_generic_name_raw,humulin r insulin 100 units/ml 3 ml vial,insulin,insulin,0,F,
50,<6,med_id_generic_name_raw,insulin-novolin r,insulin,insulin,2+,F,
51,<6,med_id_brand_name_raw,humulin 30/70 pen preloaded by pharmacy,insulin,insulin,0,F,
52,<6,med_id_generic_name_raw,insulin regular-insulin nph human 100 unit/ml(30-70) subcutaneous cart,insulin,insulin,0,F,
53,<6,med_id_hospital_code_raw,insulin regular (anes) 300 units +,insulin,insulin,0,F,
54,<6,med_id_hospital_code_raw,insulin. nph-regular (novolin ge 30/70)-3 ml cartr,insulin,insulin,0,F,
55,<6,med_id_hospital_code_raw,insulin regular (anes),insulin,insulin,0,F,
56,<6,med_id_generic_name_raw,insulin regular human infusion 0.1 units/ml 250 ml (ped),insulin,insulin,0,F,
57,<6,med_id_hospital_code_raw,humulin r,insulin,insulin,2+,F,
58,<6,med_id_generic_name_raw,insulin novolinge nph,insulin,insulin,0,F,
59,<6,med_id_din,02024217,insulin,insulin,0,F,
60,<6,med_id_generic_name_raw,novolin ge 50/50 insulin 100 unit/ml 3 ml ctr in pen,insulin,insulin,0,F,
61,<6,med_id_brand_name_raw,ectosone regular,insulin,insulin,0,F,
62,<6,med_id_hospital_code_raw,insulin sliding scale (humulin r),insulin,insulin,0,F,
63,<6,med_id_hospital_code_raw,insulin regular (anes) 25 units + sodium chloride,insulin,insulin,0,F,
64,<6,med_id_generic_name_raw,insulin regular u-100 human 100 unit/ml injection solution cartridge,insulin,insulin,0,F,
65,<6,med_id_generic_name_raw,insulin novolin ge (regular),insulin,insulin,2+,F,
